"title","title_type","directors","imdb_rating","runtime","year","genres","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'","Documentary","Mary McDonagh Murphy",7.3,78,"2010","documentary, biography, history, news",230,"2010-11-07","http://www.imdb.com/title/tt1638979/","1638979","Hey, Boo: Harper Lee and 'To Kill a Mockingbird'",2011,"Documentary","Unrated","82","Fresh",77,"Upright",80,"Jennifer Laird White","Jane Beasley","Bob Mayer","Christopher Seward","Donna Coney Island","Mary Murphy","First Run Features","http://www.rottentomatoes.com/m/hey_boo_harper_lee_and_to_kill_a_mockingbird/"
"At Play in the Fields of the Lord","Feature Film","Hector Babenco",6.7,189,"1991","drama, romance",2479,"1991-12-06","http://www.imdb.com/title/tt0101373/","0101373","At Play in the Fields of the Lord",1991,"Drama","R","186","Rotten",50,"Upright",75,"Tom Berenger","Tom Waits","Jose Dumont","John Lithgow","Daryl Hannah","David Jones (II)","MCA Universal Home Video","http://www.rottentomatoes.com/m/at_play_in_the_fields_of_the_lord/"
"Turn It Up","Feature Film","Robert Adetuyi",4.3,86,"2000","crime, drama, action, music",866,"2000-09-06","http://www.imdb.com/title/tt0216772/","0216772","Turn It Up",2000,"Musical & Performing Arts","R","86","Rotten",8,"Spilled",32,"Pras","Ja Rule","Vondie Curtis-Hall","Jason Statham","Tamala Jones","Robert Adetuyi","New Line Cinema","http://www.rottentomatoes.com/m/turn_it_up/"
"Henry V","Feature Film","Kenneth Branagh",7.8,137,"1989","action, biography, drama, history, romance, war",21506,"1989-10-06","http://www.imdb.com/title/tt0097499/","0097499","Henry V",1989,"Drama","PG-13","138","Fresh",100,"Upright",90,"Kenneth Branagh","Derek Jacobi","Brian Blessed","Ian Holm","Simon Shepherd","Kenneth Branagh","MGM Home Entertainment","http://www.rottentomatoes.com/m/1029042-henry_v/"
"The Life of Reilly","Documentary","Frank L. Anderson, Barry Poltermann",8.2,84,"2006","documentary, biography, comedy",275,"2006-03-12","http://www.imdb.com/title/tt0498366/","0498366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Stepfather","Feature Film","Nelson McCormick",5.5,101,"2009","crime, thriller",21109,"2009-10-16","http://www.imdb.com/title/tt0814335/","0814335","The Stepfather",2009,"Mystery & Suspense","PG-13","103","Rotten",11,"Spilled",34,"Dylan Walsh","Penn Badgley","Sela Ward","Amber Heard","Sherry Stringfield","Nelson McCormick","Screen Gems","http://www.rottentomatoes.com/m/10010668-stepfather/"
"Sharpe's Peril","TV Movie","Tom Clegg",7.4,102,"2008","action, adventure, drama, history, war",1122,"2008-11-02","http://www.imdb.com/title/tt1181849/","1181849","Sharpe's Peril",2008,"Drama","Unrated","140",NA,-1,"Upright",61,"Sean Bean","Daragh O'Malley","Beatrice Rosen","Nandana Sen","Pascal Langdale","Tom Clegg","Warner Home Video","http://www.rottentomatoes.com/m/sharpes_peril/"
"The Powerpuff Girls Rule!!!","TV Movie","Craig McCracken",8.1,21,"2008","animation",101,"2008-11-30","http://www.imdb.com/title/tt1353183/","1353183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"According to Greta","Feature Film","Nancy Bardawil",6.3,92,"2009","drama, romance",7220,"2009-11-25","http://www.imdb.com/title/tt1059925/","1059925","According To Greta",2010,"Drama","PG-13","91",NA,-1,"Spilled",55,"Evan Ross","Hilary Duff","Ellen Burstyn","Michael Murphy","Melissa Leo","Nancy Bardawil","Anchor Bay Entertainment","http://www.rottentomatoes.com/m/according_to_greta/"
"Mystery, Alaska","Feature Film","Jay Roach",6.6,119,"1999","comedy, drama, sport",20929,"1999-10-01","http://www.imdb.com/title/tt0134618/","0134618","Mystery, Alaska",1999,"Drama","R","115","Rotten",38,"Upright",67,"Russell Crowe","Hank Azaria","Mary McCormack","Burt Reynolds","Colm Meaney","Jay Roach","Buena Vista","http://www.rottentomatoes.com/m/mystery_alaska/"
"300: Rise of an Empire","Feature Film","Noam Murro",6.3,102,"2014","action, drama, fantasy, war",181567,"2014-03-05","http://www.imdb.com/title/tt1253863/","1253863","300: Rise of an Empire",2014,"Drama","R","103","Rotten",42,"Spilled",53,"Sullivan Stapleton","Eva Green","Lena Headey","Rodrigo Santoro","David Wenham","Noam Murro","Warner Bros. Pictures","http://www.rottentomatoes.com/m/300_rise_of_an_empire/"
