"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
1373,"tt0477051","Mon Apr 22 18:27:59 2013","Mon Apr 22 18:27:59 2013","","Norbit","Feature Film","Brian Robbins",NA,3.9,102,"2007","comedy, drama, romance",46535,"2007-02-09","http://www.imdb.com/title/tt0477051/","0477051"
5274,"tt0218619","Mon Apr 22 18:39:51 2013","Mon Apr 22 18:39:51 2013","","Soul Survivors","Feature Film","Steve Carpenter",NA,3.8,84,"2001","drama, horror, mystery, thriller",7027,"2001-09-06","http://www.imdb.com/title/tt0218619/","0218619"
3636,"tt0110308","Mon Apr 22 18:35:17 2013","Mon Apr 22 18:35:17 2013","","The Last Seduction","Feature Film","John Dahl",NA,7.1,110,"1994","crime, thriller, drama",14168,"1994-05-26","http://www.imdb.com/title/tt0110308/","0110308"
3395,"tt0369672","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","A Love Song for Bobby Long","Feature Film","Shainee Gabel",NA,7.2,119,"2004","drama",20745,"2004-09-02","http://www.imdb.com/title/tt0369672/","0369672"
119,"tt1623205","Mon Apr 22 18:23:21 2013","Mon Apr 22 18:23:21 2013","","Oz the Great and Powerful","Feature Film","Sam Raimi",3,6.4,130,"2013","adventure, family, fantasy",161028,"2013-02-14","http://www.imdb.com/title/tt1623205/","1623205"
4576,"tt0098051","Mon Apr 22 18:37:51 2013","Mon Apr 22 18:37:51 2013","","The Package","Feature Film","Andrew Davis",NA,6.4,108,"1989","action, crime, drama, thriller",5762,"1989-08-25","http://www.imdb.com/title/tt0098051/","0098051"
6162,"tt0095326","Mon Apr 22 18:42:13 2013","Mon Apr 22 18:42:13 2013","","Hot to Trot","Feature Film","Michael Dinner",NA,4.2,83,"1988","comedy, fantasy",2383,"1988-08-26","http://www.imdb.com/title/tt0095326/","0095326"
9266,"tt0318062","Mon Apr 29 19:24:53 2013","Mon Apr 29 19:24:53 2013","","Sexaholix... A Love Story","TV Movie","Marty Callner",NA,8.2,90,"2002","comedy, drama",371,"2002-04-13","http://www.imdb.com/title/tt0318062/","0318062"
456,"tt0407304","Mon Apr 22 18:25:33 2013","Mon Apr 22 18:25:33 2013","","War of the Worlds","Feature Film","Steven Spielberg",6,6.5,116,"2005","adventure, sci_fi, thriller",292756,"2005-06-13","http://www.imdb.com/title/tt0407304/","0407304"
2963,"tt0467110","Mon Apr 22 18:33:23 2013","Mon Apr 22 18:33:23 2013","","Underdog","Feature Film","Frederik Du Chau",NA,4.8,84,"2007","action, adventure, comedy, family, fantasy, sci_fi",14176,"2007-08-03","http://www.imdb.com/title/tt0467110/","0467110"
8206,"tt0073053","Mon Apr 29 17:40:15 2013","Mon Apr 29 17:40:15 2013","","Give 'em Hell, Harry!","Feature Film","Steve Binder",NA,7.4,104,"1975","biography, comedy, drama",321,"1975-09-18","http://www.imdb.com/title/tt0073053/","0073053"
9925,"tt3007496","Thu Feb 12 09:05:51 2015","Thu Feb 12 09:05:51 2015","","The Lifeboat","Feature Film","",NA,NA,NA,"????","drama",NA,"","http://www.imdb.com/title/tt3007496/","3007496"
4326,"tt0382765","Mon Apr 22 18:37:15 2013","Mon Apr 22 18:37:15 2013","","Jindabyne","Feature Film","Ray Lawrence",NA,6.4,123,"2006","crime, drama, mystery, thriller",5483,"2006-05-23","http://www.imdb.com/title/tt0382765/","0382765"
4590,"tt0084745","Mon Apr 22 18:37:51 2013","Mon Apr 22 18:37:51 2013","","Swamp Thing","Feature Film","Wes Craven",NA,5.4,91,"1982","horror, sci_fi",8203,"1982-02-19","http://www.imdb.com/title/tt0084745/","0084745"
1684,"tt0114558","Mon Apr 22 18:29:04 2013","Mon Apr 22 18:29:04 2013","","Strange Days","Feature Film","Kathryn Bigelow",NA,7.2,145,"1995","action, crime, drama, sci_fi, thriller",49477,"1995-09-06","http://www.imdb.com/title/tt0114558/","0114558"
2107,"tt0198021","Mon Apr 22 18:29:58 2013","Mon Apr 22 18:29:58 2013","","Where the Heart Is","Feature Film","Matt Williams",NA,6.8,120,"2000","comedy, drama, romance",25177,"2000-04-28","http://www.imdb.com/title/tt0198021/","0198021"
789,"tt1059786","Mon Apr 22 18:26:35 2013","Mon Apr 22 18:26:35 2013","","Eagle Eye","Feature Film","D.J. Caruso",6,6.6,118,"2008","action, mystery, thriller",137557,"2008-09-16","http://www.imdb.com/title/tt1059786/","1059786"
4772,"tt0100142","Mon Apr 22 18:38:25 2013","Mon Apr 22 18:38:25 2013","","Metropolitan","Feature Film","Whit Stillman",NA,7.4,98,"1990","comedy, drama, romance",6386,"1990-01","http://www.imdb.com/title/tt0100142/","0100142"
2891,"tt0110216","Mon Apr 22 18:33:22 2013","Mon Apr 22 18:33:22 2013","","Junior","Feature Film","Ivan Reitman",NA,4.5,109,"1994","comedy, romance, sci_fi",47985,"1994-11-23","http://www.imdb.com/title/tt0110216/","0110216"
2091,"tt0120873","Mon Apr 22 18:29:58 2013","Mon Apr 22 18:29:58 2013","","U.S. Marshals","Feature Film","Stuart Baird",5,6.5,131,"1998","action, crime, thriller",70641,"1998-03-06","http://www.imdb.com/title/tt0120873/","0120873"
2483,"tt0109254","Mon Apr 22 18:31:21 2013","Mon Apr 22 18:31:21 2013","","Beverly Hills Cop III","Feature Film","John Landis",NA,5.5,104,"1994","action, comedy, crime, thriller",52632,"1994-05-25","http://www.imdb.com/title/tt0109254/","0109254"
7739,"tt0472198","Mon Apr 29 17:38:35 2013","Mon Apr 29 17:38:35 2013","","Notorious","Feature Film","George Tillman Jr.",NA,6.6,122,"2009","biography, drama, music",25476,"2009-01-16","http://www.imdb.com/title/tt0472198/","0472198"
8712,"tt0207805","Mon Apr 29 19:23:24 2013","Mon Apr 29 19:23:24 2013","","Tuesdays with Morrie","TV Movie","Mick Jackson",NA,7.5,89,"1999","biography, drama",3337,"1999-12-05","http://www.imdb.com/title/tt0207805/","0207805"
3385,"tt0422272","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","Fragile","Feature Film","Jaume Balagueró",NA,6.2,101,"2005","thriller, horror",11752,"2005-09-02","http://www.imdb.com/title/tt0422272/","0422272"
2419,"tt1082886","Mon Apr 22 18:30:55 2013","Mon Apr 22 18:30:55 2013","","The Wackness","Feature Film","Jonathan Levine",NA,7,99,"2008","comedy, drama, romance",25664,"2008-01-18","http://www.imdb.com/title/tt1082886/","1082886"
9093,"tt0111156","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","Sharpe's Company","TV Movie","Tom Clegg",NA,8,100,"1994","action, adventure, history, war",1708,"1994-05-25","http://www.imdb.com/title/tt0111156/","0111156"
3909,"tt0116410","Mon Apr 22 18:36:18 2013","Mon Apr 22 18:36:18 2013","","Ghosts of Mississippi","Feature Film","Rob Reiner",NA,6.6,130,"1996","drama",7901,"1996-12-20","http://www.imdb.com/title/tt0116410/","0116410"
378,"tt2083231","Mon Apr 22 18:23:58 2013","Mon Apr 22 18:23:58 2013","","Java Heat","Feature Film","Conor Allyn",NA,5.2,104,"2013","action, crime, drama, thriller",3726,"2013-04-11","http://www.imdb.com/title/tt2083231/","2083231"
4475,"tt0120701","Mon Apr 22 18:37:49 2013","Mon Apr 22 18:37:49 2013","","Holy Man","Feature Film","Stephen Herek",NA,4.8,114,"1998","comedy, drama",14953,"1998-10-09","http://www.imdb.com/title/tt0120701/","0120701"
2567,"tt0785006","Mon Apr 22 18:31:22 2013","Mon Apr 22 18:31:22 2013","","Hotel for Dogs","Feature Film","Thor Freudenthal",NA,5.3,100,"2009","comedy, family",14238,"2009-01-15","http://www.imdb.com/title/tt0785006/","0785006"
4737,"tt0165361","Mon Apr 22 18:38:24 2013","Mon Apr 22 18:38:24 2013","","Highway","Feature Film","James Cox",NA,6.3,97,"2002","crime, drama",4689,"2002-03-26","http://www.imdb.com/title/tt0165361/","0165361"
5116,"tt0280605","Mon Apr 22 18:39:24 2013","Mon Apr 22 18:39:24 2013","","Dirty Deeds","Feature Film","David Caesar",NA,6.3,110,"2002","comedy, crime",2739,"2002-07-18","http://www.imdb.com/title/tt0280605/","0280605"
4648,"tt0107612","Mon Apr 22 18:38:23 2013","Mon Apr 22 18:38:23 2013","","Mr. Nanny","Feature Film","Michael Gottlieb",NA,3.5,84,"1993","action, comedy, family",7072,"1993-04-02","http://www.imdb.com/title/tt0107612/","0107612"
8508,"tt0390145","Mon Apr 29 18:17:02 2013","Mon Apr 29 18:17:02 2013","","John Wycliffe: The Morning Star","Feature Film","Tony Tew",NA,7.3,75,"1984","biography, drama, history",86,"1984","http://www.imdb.com/title/tt0390145/","0390145"
7115,"tt1220888","Thu Apr 25 02:59:57 2013","Thu Apr 25 02:59:57 2013","","Henry's Crime","Feature Film","Malcolm Venville",NA,6,108,"2010","comedy, crime, drama, romance",14143,"2010-09-14","http://www.imdb.com/title/tt1220888/","1220888"
8590,"tt1666642","Mon Apr 29 19:23:23 2013","Mon Apr 29 19:23:23 2013","","Revenge of the Bridesmaids","TV Movie","James Hayman",NA,6.1,95,"2010","comedy, romance",3669,"2010-07-18","http://www.imdb.com/title/tt1666642/","1666642"
126,"tt1935179","Mon Apr 22 18:23:21 2013","Mon Apr 22 18:23:21 2013","","Mud","Feature Film","Jeff Nichols",5,7.5,130,"2012","drama",112328,"2012-05-26","http://www.imdb.com/title/tt1935179/","1935179"
392,"tt0090605","Mon Apr 22 18:25:33 2013","Mon Apr 22 18:25:33 2013","","Aliens","Feature Film","James Cameron",8,8.4,137,"1986","action, adventure, sci_fi, thriller",414696,"1986-07-18","http://www.imdb.com/title/tt0090605/","0090605"
1809,"tt1623745","Mon Apr 22 18:29:06 2013","Mon Apr 22 18:29:06 2013","","Little Birds","Feature Film","Elgin James",NA,6.2,94,"2011","drama",3363,"2011-01-23","http://www.imdb.com/title/tt1623745/","1623745"
6500,"tt0092723","Mon Apr 22 18:43:10 2013","Mon Apr 22 18:43:10 2013","","The Care Bears Adventure in Wonderland","Feature Film","Raymond Jafelice",NA,5.5,80,"1987","animation, comedy, family",773,"1987-08-07","http://www.imdb.com/title/tt0092723/","0092723"
985,"tt1111422","Mon Apr 22 18:27:03 2013","Mon Apr 22 18:27:03 2013","","The Taking of Pelham 1 2 3","Feature Film","Tony Scott",4,6.4,106,"2009","action, crime, thriller",131841,"2009-06-04","http://www.imdb.com/title/tt1111422/","1111422"
631,"tt0373051","Mon Apr 22 18:26:02 2013","Mon Apr 22 18:26:02 2013","","Journey to the Center of the Earth","Feature Film","Eric Brevig",5,5.8,93,"2008","action, adventure, family, fantasy, sci_fi",71864,"2008-07-10","http://www.imdb.com/title/tt0373051/","0373051"
5133,"tt0245171","Mon Apr 22 18:39:24 2013","Mon Apr 22 18:39:24 2013","","Invincible","Feature Film","Werner Herzog",NA,6.6,133,"2001","drama, war",3289,"2001-09-03","http://www.imdb.com/title/tt0245171/","0245171"
6721,"tt1010048","Mon Apr 22 22:45:12 2013","Mon Apr 22 22:45:12 2013","","Slumdog Millionaire","Feature Film","Danny Boyle, Loveleen Tandan",8,8,120,"2008","drama, romance",557004,"2008-08-30","http://www.imdb.com/title/tt1010048/","1010048"
1621,"tt1441912","Mon Apr 22 18:28:28 2013","Mon Apr 22 18:28:28 2013","","The Way","Feature Film","Emilio Estevez",NA,7.4,123,"2010","adventure, comedy, drama",17866,"2010-09-10","http://www.imdb.com/title/tt1441912/","1441912"
4358,"tt0155711","Mon Apr 22 18:37:16 2013","Mon Apr 22 18:37:16 2013","","Flawless","Feature Film","Joel Schumacher",NA,6.4,112,"1999","comedy, crime, drama",13239,"1999-11-24","http://www.imdb.com/title/tt0155711/","0155711"
6189,"tt0200469","Mon Apr 22 18:42:14 2013","Mon Apr 22 18:42:14 2013","","Bats","Feature Film","Louis Morneau",NA,3.6,91,"1999","horror, sci_fi, thriller",7956,"1999-10-22","http://www.imdb.com/title/tt0200469/","0200469"
1216,"tt1233301","Mon Apr 22 18:27:29 2013","Mon Apr 22 18:27:29 2013","","Ironclad","Feature Film","Jonathan English",6,6.2,121,"2011","action, adventure, history, romance",31163,"2011-03-04","http://www.imdb.com/title/tt1233301/","1233301"
3895,"tt0110027","Mon Apr 22 18:36:18 2013","Mon Apr 22 18:36:18 2013","","Highlander: The Final Dimension","Feature Film","Andrew Morahan",NA,4.2,99,"1994","action, fantasy, sci_fi",14481,"1994-11-30","http://www.imdb.com/title/tt0110027/","0110027"
3467,"tt0097138","Mon Apr 22 18:34:44 2013","Mon Apr 22 18:34:44 2013","","Cyborg","Feature Film","Albert Pyun",NA,5,86,"1989","action, sci_fi, thriller",21303,"1989-04-07","http://www.imdb.com/title/tt0097138/","0097138"
8317,"tt0455824","Mon Apr 29 18:16:32 2013","Mon Apr 29 18:16:32 2013","","Australia","Feature Film","Baz Luhrmann",NA,6.6,165,"2008","adventure, drama, history, romance, war",94287,"2008-11-18","http://www.imdb.com/title/tt0455824/","0455824"
